mpg,cyl,hp,wt,vs,am
21,6,110,2.62,0,1
21,6,110,2.875,0,1
22.8,4,93,2.32,1,1
21.4,6,110,3.215,1,0
18.7,8,175,999,0,0
18.1,6,105,3.46,1,0
14.3,8,245,3.57,0,0
24.4,4,62,3.19,1,0
22.8,4,95,3.15,1,0
19.2,6,123,3.44,1,0
17.8,6,123,3.44,1,0
16.4,8,180,4.07,0,0
17.3,8,180,3.73,0,0
15.2,8,180,3.78,0,0
10.4,8,205,5.25,0,0
10.4,8,215,5.424,0,0
14.7,8,230,5.345,0,0
32.4,4,66,2.2,1,1
30.4,4,52,1.615,1,1
33.9,4,65,1.835,1,1
21.5,4,97,2.465,1,0
15.5,8,150,3.52,0,0
15.2,8,150,3.435,0,0
13.3,8,245,3.84,0,0
19.2,8,175,3.845,0,0
27.3,4,66,1.935,1,1
26,4,91,2.14,0,1
30.4,4,113,1.513,1,1
15.8,8,264,3.17,0,1
19.7,6,175,2.77,0,1
15,8,335,3.57,0,1
21.4,4,109,2.78,1,1
